Gene,P_all,P_sub,P_vis,P_status,P_location,P_interaction
MAN1C1,0.75401464604561,0.805160947157354,0.751162870512669,0.870993085689269,8.71094644559129e-05,0.695617197816753
PDIK1L,0.12199766818019,0.997297040914903,0.0302019321560726,0.108043030231984,0.245712724186277,0.117484375664174
FAM110D,0.0597486637247143,0.647089587350627,0.00803920285529476,0.0312707763544549,0.00888740292831927,0.156212881906564
CATSPER4,0.599225459083752,0.24342209601252,0.894393602201624,0.495720199262208,0.0178870066090034,0.360519913907521
CEP85,0.140749224635673,0.0320804030044623,0.820910779307969,0.140989307397345,0.00451458180383029,0.0586505929481099
SH3BGRL3,0.981763056491967,0.433524249208972,0.297448097391915,0.849369656251004,9.43383258023834e-05,0.196068639543236
CD52,0.439122010767348,0.987819814614729,0.169284746027803,0.326280424127115,0.00689788432183698,0.36289932579097
DHDDS,0.950593433525263,0.87137248608887,0.925178935197162,0.979707513331218,0.0813945742555231,0.860311300670184
RPS6KA1,0.665347100182222,0.239213793724703,0.78073003344379,0.623101584333224,0.2524175446633,0.335622776940544
ZDHHC18,0.958677995809192,0.479221895616383,0.614779708640962,0.943654495313804,0.0156565029432491,0.395038813137733
TMEM222,0.22362824789637,0.449474867351664,0.0398806994156607,0.231599125441396,0.951811000709994,0.0376968148962012
SYTL1,0.9344546242142,0.763691520303608,0.922419040799173,0.809167598325992,0.00436202762901974,0.934862834135656
GPR3,0.523158835509864,0.293490803742088,0.871676503096847,0.492107801256968,0.322707182194153,0.348896911724051
FAM76A,0.514949379833972,0.123880413465139,0.588683991228571,0.508340517751812,0.708256498782594,0.134544345501539
PPP1R8,0.917135476742347,0.510743138424133,0.266580665418901,0.745147717266974,0.000242713051641005,0.212761623496508
SCARNA1,0.840648174126961,0.789465460764013,0.972816397069727,0.863169589733614,0.596485133637991,0.820817678271744
THEMIS2,0.775435000834584,0.851446423151964,0.928061701978859,0.93681098632939,2.11124161021513e-08,0.837633769354031
SMPDL3B,0.527348614419354,0.154443871677734,0.784126039754797,0.307718874881641,3.14442527744484e-05,0.547523301666236
SESN2,0.642202279459801,0.719460716964758,0.851689149151516,0.697746308906754,0.0808684210756038,0.900583331883466
MED18,0.500662542958381,0.30871588300829,0.932665660011825,0.491751588566492,0.655658741557597,0.561896802292096
TRNAU1AP,0.0971878716037587,0.0051082972431318,0.692294136544502,0.0382071654718643,0.000671833821523316,0.105507241982034
RAB42,0.906368330681417,0.59706918713153,0.439911166545165,0.950814907661524,0.000260383422580218,0.369311382450737
GMEB1,0.237128268649572,0.0702066751892276,0.718643888189569,0.252268575584377,0.62630154822462,0.585764697642633
EPB41,0.999370727738497,0.601033039518096,0.81164199245953,0.850639120858271,0.00051355153297754,0.585228594642871
ZCCHC17,0.422748677872852,0.929915932827699,0.357236633689306,0.457108621607411,0.199586812142486,0.562220855336809
SERINC2,0.96932142327052,0.801679233841621,0.267935255528844,0.781448879534224,4.46704296954989e-05,0.474460810506187
TINAGL1,0.358444162350924,0.314180629515492,0.687853104783514,0.30230855749115,0.0790542664860826,0.599250119982176
TXLNA,0.0609212929666953,0.156038124744388,0.257950125085535,0.0679262078756159,0.221155105389185,0.842589278976192
EIF3I,0.896583893979338,0.303316172353554,0.492356243112057,0.797117642430413,0.0214038158221025,0.215196840881489
AZIN2,0.243856090128776,0.0350308974578332,0.693294060628779,0.194842821831737,0.0616068460805696,0.0530999953610338
ZMYM1,0.552894180157441,0.581095391433848,0.151453273772145,0.517165500467932,0.283133231618158,0.162767558158685
AGO1,0.550453504779618,0.178478016622409,0.653698184193143,0.611735195490943,0.000113183521015119,0.2168942751351
ADPRHL2,0.642788887005488,0.938313016059288,0.451243938336342,0.659724681426824,0.726109715005421,0.594049133243444
CDCA8,0.860704063186908,0.96319166603229,0.934510892784452,0.998585405597583,0.000122263828658792,0.935864738228209
UTP11,0.913731584779189,0.383244000357893,0.501159148481826,0.964522342426571,0.201339644550998,0.277434355905732
NDUFS5,0.793665009125626,0.929389241100521,0.507942296011657,0.674010390606867,0.00867935328468109,0.602719996722987
PPIE,0.723319116648655,0.646679376977484,0.95222315230353,0.745344263109545,0.613476208969006,0.679077596279327
CAP1,0.847680004054808,0.767681321780127,0.77794529698795,0.945347896453326,0.0077335073702038,0.690103582792154
ZMPSTE24,0.551755259018144,0.947521573846025,0.494110659272306,0.606175088608632,0.0379624227025088,0.571781482865521
SMAP2,0.387284817459581,0.0935878684827064,0.661050807427742,0.115410477755254,7.96547840912919e-08,0.277864897065166
ZFP69B,0.490277432389042,0.404229688531656,0.784463562399676,0.452424163268553,0.240134728285868,0.724425700983246
ZFP69,0.462128731472537,0.646628850192996,0.478989672673336,0.397972383120544,0.077121580305089,0.878922405747693
MIR30E,0.637527708754602,0.624579767920516,0.900773737390976,0.703076650484721,0.0241531671666133,0.852381168708088
PPIH,0.778624947876966,0.418986914086968,0.835546241737538,0.726138299696008,0.187622381818444,0.489454409402991
YBX1,0.915242516343326,0.619836822816407,0.955599078317709,0.767275834856877,0.00116864511874215,0.695826168217562
