Gene,t_all,t_sub,t_vis,t_status,t_location,t_interaction
ISG15,0.663906035579856,0.566780994431542,0.26657760304612,0.579229078340702,3.05793973391339,-0.196676301762185
B3GALT6,0.644198012291059,0.297832845498676,0.574573402023432,0.642246462286903,-0.143836879929862,0.22870222886471
SKI,-0.38146281555282,-0.225330833207107,-0.765080249721694,-0.721092748929674,4.82151675347419,-0.369431816671632
TP73,-1.237217769285,-0.214966498169036,-1.70187165071079,-1.27102798671846,0.815416701882117,-0.87680102779852
AJAP1,1.35288525498723,1.33167399376278,0.991602389027983,1.41931189608226,4.32329185339569,0.373514253056886
KCNAB2,-0.692973771400866,-0.961186476731329,0.408448937653399,-0.652625825678002,-5.77625512560867,1.07587066975771
HES3,-0.505704271855745,-1.63808607983142,0.357737621088784,-0.602998831586512,1.7057426402417,1.23492165009335
ZBTB48,-0.184873851109381,-0.0068471310813309,-0.320613142444106,-0.229984433644956,0.913734127094685,-0.205959627844937
VAMP3,-0.647363618242315,-0.511318571264418,-0.487219681247859,-0.685003560117172,0.823016343000628,-0.135453511128576
PER3,1.62356697671598,1.93084228451114,0.637533104111796,1.57357972464441,0.813050762450415,-0.555900263604535
H6PD,-1.04941610979684,-0.77775758048678,-0.716116571250712,-0.990945155694424,-2.33881758963725,-0.265406223700366
SPSB1,-0.418263824668746,-0.306974547004666,-0.0412754671049642,-0.286509292221603,-9.15133698268903,0.253756052037514
NMNAT1,0.896915324303399,0.200988016470463,1.12066697536776,0.915692306393549,-0.559902938350549,0.566549163429789
RBP7,0.171667749155413,0.607042117958544,-0.188236231734437,0.309976738801645,-2.53142059709459,-0.584368027833435
UBE4B,-0.791134764947419,-1.4791127154151,0.38922567317877,-0.737618142602252,-1.08670897170596,1.34556799377675
KIF1B,0.13515115097944,-0.109147106088398,0.247548070494514,0.122468821517035,0.215906060463291,0.254399349763537
PGD,-1.09878795684516,-1.54452619667493,0.119636265751238,-1.05980596783057,-0.548575296192674,1.28444951987267
MTOR-AS1,-1.63321594787969,-1.13651291812317,-1.07693767508874,-1.58460463470119,-0.727924229427353,0.0742283605477613
ANGPTL7,-1.29313872713801,-2.04685929144642,-1.0629426623927,-2.14176944494581,6.25821974981142,0.592862740454035
UBIAD1,0.598524813014285,1.32802228323639,0.12849731714532,0.904802411740468,-3.98631472638635,-0.739935358698804
AGTRAP,-0.521331470668437,0.0892292606443157,-0.639712245630814,-0.534812907281371,0.398149314126139,-0.584470029256103
RNU5E-1,-0.339358172234398,0.145621043880512,-0.63502136625814,-0.371684710567239,0.699828442372107,-0.547736788566698
MFN2,-0.49855005266279,-0.265921914861169,-0.355560201513829,-0.447318627529973,-1.01474737681803,-0.144590074258563
PDPN,0.619471326968968,0.797075721871172,0.211586401941855,0.533112095106229,4.3897460105193,-0.169316509716649
TMEM51,-0.839506721455683,-0.918790907144434,-0.204998164981442,-0.778682946014282,-1.41071662596703,0.507469455291777
EFHD2,0.192864842501083,0.012262469801189,0.226700001005873,0.169849328149577,0.41266659714003,0.141837493983841
CTRC,0.540472485668784,-0.760252373489409,1.11217035440358,0.441219157904472,3.24808752836238,1.32478812846787
PADI4,-0.380112111230926,-0.683168721619069,-0.281538311580695,-0.677800707621095,4.34402976999488,0.288611354730568
ARHGEF10L,-0.676176888529789,-0.348418829160872,-0.673265783458056,-0.763392843730912,1.52552053769327,-0.342213177469907
IGSF21,-1.44247394012642,-1.00095812013237,-0.985408903461012,-1.41764860710548,-0.0811075602175377,-0.0353865258759531
MRTO4,-0.796323211356317,-0.628461443887985,-0.425873757540616,-0.768646843156623,-5.09484023662443,0.350264291822687
PQLC2,-0.744225015493691,-0.770559109570678,-0.169907062325979,-0.66740387632106,-2.92404750857617,0.450901178747429
OTUD3,2.16446125125229,1.10637489078593,2.110798404635,2.11426390515011,1.20625619131759,0.129588777509855
CDA,0.553666616255501,-0.0606572284590771,0.648539215002835,0.453896895164017,3.58353831196817,0.506996399610471
LOC100506801,0.79067871816317,2.21758077645705,-0.590078445693271,0.721389356216492,1.88732767075609,-1.76122872818989
ALPL,-0.120933073311346,-0.137229260099425,-0.200619643644906,-0.242392508549798,2.29704384744807,-0.0338051139264154
LINC00339,-0.70680202920202,-0.418296868103406,-0.486633551946549,-0.646499661221005,-1.32761430579102,0.00894362999689539
C1QA,-0.331732376830283,0.449555433490305,-0.776227093484909,-0.49488543914607,2.72819072498186,-0.870273324797541
C1QC,-0.273835046687922,0.161420871786895,-0.712111767343782,-0.473466370157125,3.31731676562943,-0.641816715871286
C1QB,-0.289240478048365,-0.220148427262048,-0.480195736387857,-0.528245529483828,3.82540638497907,-0.2531044690984
EPHB2,-1.67680747100908,-1.38599585955713,-1.01345165289403,-1.71028076725511,-3.24198182861241,0.304180467833308
PITHD1,-1.01950249675409,-1.27715765240613,-0.445342653315369,-0.958842842507471,-1.59644782193649,0.18978779559201
RCAN3,-0.674761319628996,-0.0586334100670827,-0.817625797881493,-0.634628824465636,-6.03520304813442,-0.515820202122896
MACO1,-0.520452893953969,-1.18108081609113,0.112929450179256,-0.489157310112277,-0.510596037541125,0.70716465719509
LDLRAP1,-0.323409423785545,0.911873144105865,-1.48920063278101,-0.245806506648582,-1.70072492078996,-1.64382993128484
MAN1C1,0.315624334208576,-0.250555391917898,0.321739452068432,0.163527514419727,4.40487954577142,0.394393681029157
PDIK1L,1.58173997224297,-0.00343782156539869,2.34239579750938,1.64692045003849,-1.1795385181044,1.60385631134742
FAM110D,1.94063102467425,0.466058494642488,2.96018175891505,2.23876621141877,-2.76221990781904,1.44820855893032
